Instruction,BrEq,BrLT,a_sel,b_sel,alu_sel,mem_wr,RegWEn,immSel,BrUn,pc_sel,wb_sel
LUI,x,x,0,1,9,0,1,4,x,0,1
AUIPC,x,x,1,1,2,0,1,4,x,0,1
JAL,x,x,1,1,2,0,1,5,x,1,2
JALR,x,x,0,1,2,0,1,1,x,1,2
BEQ,0,x,0,0,2,0,0,3,x,0,x
BEQ,1,x,0,0,2,0,0,3,x,1,x
BNE,1,x,0,0,2,0,0,3,x,0,x
BNE,0,x,0,0,2,0,0,3,x,1,x
BLT,x,0,0,0,2,0,0,3,0,0,x
BLT,x,1,0,0,2,0,0,3,0,1,x
BGE,x,0,0,0,2,0,0,3,0,1,x
BGE,x,1,0,0,2,0,0,3,0,0,x
BLT,x,0,0,0,2,0,0,3,1,0,x
BLT,x,1,0,0,2,0,0,3,1,1,x
BGE,x,0,0,0,2,0,0,3,1,1,x
BGE,x,1,0,0,2,0,0,3,1,0,x
LB,x,x,0,1,2,0,1,1,0,0,0
LH,x,x,0,1,2,0,1,1,0,0,0
LW,x,x,0,1,2,0,1,1,0,0,0
LBU,x,x,0,1,2,0,1,1,0,0,0
LHU,x,x,0,1,2,0,1,1,0,0,0
